,,,,,,,Fastq Files,,,Cleaned Reads,,,MEGAHIT,,,,,,,,
host_subject_id,Comprimento médio dos reads (pb),Bases,host_subject_id,env_broad_scale,env_local_scale,env_medium,Bytes,Gb,Reads,Bytes,Reads,% retirada,N50 (resolução),num_seq (Nºtotal de contigs),sum_len (Profundidade),min_len (menor contig montado),avg_len (média do tamanho dos contigs),max_len (Maior contigs montado),Contigs_gt_1kb (Contigs maiores que 1000kb),,
SRR22244675,302,4205809040,HC03,human skin,Ac,missing,1127182271,"1,127182271",27853040,,4483830,"83,9018290283574",431,19758,8810372,255,445.9,5759,333,,
SRR22244676,302,4629995522,HC04,human skin,Ac,missing,1216491584,"1,216491584",30662222,,5088748,"83,4038511625152",479,15073,7519963,202,498.9,20756,738,,
SRR22244677,302,4601057278,HC04,human skin,Ac,missing,1205081993,"1,205081993",,,,,,,,,,,,,
SRR22244678,302,7210684578,HC05,human skin,Ac,missing,2229865403,"2,229865403",,,,,,,,,,,,,
SRR22244679,302,7164309156,HC05,human skin,Ac,missing,2208676352,"2,208676352",47445756,,22452814,"52,6768758832718",463,87395,42306956,203,484.1,37448,3155,,
SRR22244680,302,3741866674,AD02,human skin,Ac,missing,919426224,"0,919426224",24780574,,1957630,"92,1001426359212",639,4559,2819144,220,618.4,107551,417,,
SRR22244681,302,3597656238,AD07,human skin,Ac,missing,841117412,"0,841117412",23825538,,755796,"96,8277904154777",1036,3598,2917173,272,810.8,9999,820,,
SRR22244682,302,5320707272,AD10,human skin,Ac,missing,1337300000,"1,3373",35236472,,4380374,"87,5686362698286",786,19069,13848921,200,726.3,169158,2042,,
SRR22244683,302,4125383118,AD11,human skin,Ac,missing,1006519697,"1,006519697",27320418,,2818796,"89,6824565422096",690,15381,10053112,209,653.6,15883,1797,,
SRR22244684,302,4315241156,AD12,human skin,Ac,missing,1008592850,"1,00859285",28577756,,882800,"96,9108841156038",603,2928,1712250,272,584.8,14137,254,,
SRR22244685,302,3514436816,AD14,human skin,Ac,missing,850109104,"0,850109104",23274416,,1236426,"94,6876175110044",1371,4869,4758941,234,977.4,18726,1175,,
SRR22244686,302,3266735510,AD15,human skin,Ac,missing,827260571,"0,827260571",21634010,,2734070,"87,3621672542446",7555,1308,3066290,220,2344.3,30103,432,,
